#
# ABINIT package : DOS file  
#
# nsppol = 2, nkpt =32768, nband(1)=  15
# Tetrahedron method
# For identification : eigen(1:3)=  -2.764  -1.511  -1.511
#
# Fermi energy :       0.46872397
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell) are computed,
# at  9401 energies (in Hartree) covering the interval 
# between   -2.8000 and    1.9000 Hartree by steps of  0.00050 Hartree.
#
#                Spin-up DOS
# energy(Ha)     DOS  integrated DOS
   -0.00000     0.0000     4.0000
    0.00050     0.0000     4.0000
    0.00100     0.0000     4.0000
    0.00150     0.0000     4.0000
    0.00200     0.0000     4.0000
    0.00250     0.0000     4.0000
    0.00300     0.0000     4.0000
    0.00350     0.0000     4.0000
    0.00400     0.0000     4.0000
    0.00450     0.0000     4.0000
    0.00500     0.0000     4.0000
    0.00550     0.0000     4.0000
    0.00600     0.0000     4.0000
    0.00650     0.0000     4.0000
    0.00700     0.0000     4.0000
    0.00750     0.0000     4.0000
    0.00800     0.0000     4.0000
    0.00850     0.0000     4.0000
    0.00900     0.0000     4.0000
    0.00950     0.0000     4.0000
    0.01000     0.0000     4.0000
    0.01050     0.0000     4.0000
    0.01100     0.0000     4.0000
    0.01150     0.0000     4.0000
    0.01200     0.0000     4.0000
    0.01250     0.0000     4.0000
    0.01300     0.0000     4.0000
    0.01350     0.0000     4.0000
    0.01400     0.0000     4.0000
    0.01450     0.0000     4.0000
    0.01500     0.0000     4.0000
    0.01550     0.0000     4.0000
    0.01600     0.0000     4.0000
    0.01650     0.0000     4.0000
    0.01700     0.0000     4.0000
    0.01750     0.0000     4.0000
    0.01800     0.0000     4.0000
    0.01850     0.0000     4.0000
    0.01900     0.0000     4.0000
    0.01950     0.0000     4.0000
    0.02000     0.0000     4.0000
    0.02050     0.0000     4.0000
    0.02100     0.0000     4.0000
    0.02150     0.0000     4.0000
    0.02200     0.0000     4.0000
    0.02250     0.0000     4.0000
    0.02300     0.0000     4.0000
    0.02350     0.0000     4.0000
    0.02400     0.0000     4.0000
    0.02450     0.0000     4.0000
    0.02500     0.0000     4.0000
    0.02550     0.0000     4.0000
    0.02600     0.0000     4.0000
    0.02650     0.0000     4.0000
    0.02700     0.0000     4.0000
    0.02750     0.0000     4.0000
    0.02800     0.0000     4.0000
    0.02850     0.0000     4.0000
    0.02900     0.0000     4.0000
    0.02950     0.0000     4.0000
    0.03000     0.0000     4.0000
    0.03050     0.0000     4.0000
    0.03100     0.0000     4.0000
    0.03150     0.0000     4.0000
    0.03200     0.0000     4.0000
    0.03250     0.0000     4.0000
    0.03300     0.0000     4.0000
    0.03350     0.0000     4.0000
    0.03400     0.0000     4.0000
    0.03450     0.0000     4.0000
    0.03500     0.0000     4.0000
    0.03550     0.0000     4.0000
    0.03600     0.0000     4.0000
    0.03650     0.0000     4.0000
    0.03700     0.0000     4.0000
    0.03750     0.0000     4.0000
    0.03800     0.0000     4.0000
    0.03850     0.0000     4.0000
    0.03900     0.0000     4.0000
    0.03950     0.0000     4.0000
    0.04000     0.0000     4.0000
    0.04050     0.0000     4.0000
    0.04100     0.0000     4.0000
    0.04150     0.0000     4.0000
    0.04200     0.0000     4.0000
    0.04250     0.0000     4.0000
    0.04300     0.0000     4.0000
    0.04350     0.0000     4.0000
    0.04400     0.0000     4.0000
    0.04450     0.0000     4.0000
    0.04500     0.0000     4.0000
    0.04550     0.0000     4.0000
    0.04600     0.0000     4.0000
    0.04650     0.0000     4.0000
    0.04700     0.0000     4.0000
    0.04750     0.0000     4.0000
    0.04800     0.0000     4.0000
    0.04850     0.0000     4.0000
    0.04900     0.0000     4.0000
    0.04950     0.0000     4.0000
    0.05000     0.0000     4.0000
    0.05050     0.0000     4.0000
    0.05100     0.0000     4.0000
    0.05150     0.0000     4.0000
    0.05200     0.0000     4.0000
    0.05250     0.0000     4.0000
    0.05300     0.0000     4.0000
    0.05350     0.0000     4.0000
    0.05400     0.0000     4.0000
    0.05450     0.0000     4.0000
    0.05500     0.0000     4.0000
    0.05550     0.0000     4.0000
    0.05600     0.0000     4.0000
    0.05650     0.0000     4.0000
    0.05700     0.0000     4.0000
    0.05750     0.0000     4.0000
    0.05800     0.0000     4.0000
